agent_id,environment_name,eval_episode_return,frame,normalized_return,seed
FGLMCDQN,alien,1582.0,34800000,0.1962637139668691,0
FGLMCDQN,alien,1398.0,35200000,0.16959666082117134,0
FGLMCDQN,alien,1698.0,35600000,0.21307555181959162,0
FGLMCDQN,alien,2254.0,36000000,0.2936564298033305,0
FGLMCDQN,alien,2336.0,36400000,0.30554066000956537,0
FGLMCDQN,alien,1726.0,36800000,0.21713358164611082,0
FGLMCDQN,alien,2998.0,37200000,0.4014840794794127,0
FGLMCDQN,alien,1710.0,37600000,0.2148147074595284,0
FGLMCDQN,alien,2126.0,38000000,0.2751054363106712,0
FGLMCDQN,alien,2246.0,38400000,0.2924969927100393,0
FGLMCDQN,alien,1816.0,38800000,0.2301772489456369,0
FGLMCDQN,alien,2260.0,39200000,0.2945260076232989,0
